code,company,Classification,affiliate,closing price,rate,fluctuation rate,market price,high price,low price,trading volume,transaction amount,market cap,Number of listed shares
52330,코텍,KOSDAQ,중견기업부,9490,-100,-1.04,9600,9620,9450,52128,497066560,1.47802E+11,15574552
322780,코퍼스코리아,KOSDAQ,벤처기업부,1910,-25,-1.29,1940,1960,1910,31841,61322145,68293337340,35755674
126600,코프라,KOSDAQ,우량기업부,5150,10,0.19,5140,5250,5110,64787,335659140,1.5211E+11,29535894
36420,콘텐트리중앙,KOSPI,,23700,-200,-0.84,24100,24450,23600,135650,3261253000,4.56517E+11,19262308
200130,콜마비앤에이치,KOSDAQ,우량기업부,23550,-200,-0.84,23750,23950,23350,25790,610857500,6.95751E+11,29543558
31820,콤텍시스템,KOSPI,,660,-1,-0.15,663,670,659,336368,222926145,79893967560,121051466
294570,쿠콘,KOSDAQ,벤처기업부,27350,-150,-0.55,28300,28300,27250,18534,511029500,2.80466E+11,10254685
192400,쿠쿠홀딩스,KOSPI,,16250,50,0.31,16250,16400,16150,10752,175043150,5.77886E+11,35562185
284740,쿠쿠홈시스,KOSPI,,30150,1150,3.97,29400,30200,29150,16153,480114100,6.76485E+11,22437330
317690,퀀타매트릭스,KOSDAQ,기술성장기업부,5250,-30,-0.57,5290,5330,5240,23921,126326260,86516907750,16479411
365270,큐라클,KOSDAQ,기술성장기업부,12500,-50,-0.4,12550,12650,12350,24242,301994650,1.72375E+11,13789968
60280,큐렉소,KOSDAQ,중견기업부,7260,40,0.55,7270,7410,7200,26846,196489310,2.82465E+11,38907090
15590,큐로,KOSPI,,331,3,0.91,329,333,329,102479,33854181,76531052178,231211638
40350,큐로컴,KOSDAQ,벤처기업부,788,10,1.29,785,805,777,138949,109678952,99267095936,125973472
51780,큐로홀딩스,KOSDAQ,중견기업부,420,2,0.48,413,424,412,82389,34470169,52257429000,124422450
115180,큐리언트,KOSDAQ,중견기업부,9990,-110,-1.09,10000,10400,9960,69391,697430890,1.04944E+11,10504921
182360,큐브엔터,KOSDAQ,중견기업부,17950,-350,-1.91,18300,18450,17900,55049,997231700,2.47794E+11,13804687
405100,큐알티,KOSDAQ,벤처기업부,33200,-150,-0.45,33600,33700,33000,48266,1603753900,1.32287E+11,3984556
66310,큐에스아이,KOSDAQ,벤처기업부,9520,-30,-0.31,9670,9840,9510,74407,720553040,88265831920,9271621
136660,큐엠씨,KONEX,일반기업부,2600,0,0,2305,2600,2305,174,402250,24553880000,9443800
16600,큐캐피탈,KOSDAQ,중견기업부,451,4,0.89,447,458,444,419391,189168800,80389447512,178247112
264900,크라운제과,KOSPI,,8390,80,0.96,8360,8490,8250,19537,164185610,1.05075E+11,12523850
26490K,크라운제과우,KOSPI,,11000,300,2.8,10750,11450,10750,8116,90308850,8509160000,773560
5740,크라운해태홀딩스,KOSPI,,6420,80,1.26,6430,6480,6370,19726,126618590,95319967740,14847347
5745,크라운해태홀딩스우,KOSPI,,10350,50,0.49,10500,10500,10350,226,2347150,6217514100,600726
259960,크래프톤,KOSPI,,195500,1000,0.51,197500,198000,193500,101613,19896645500,9.59358E+12,49072045
96240,크레버스,KOSDAQ,우량기업부,20650,250,1.23,20350,20700,20350,9432,193841600,2.38379E+11,11543764
215570,크로넥스,KONEX,일반기업부,1595,35,2.24,1600,1690,1500,373,569150,8099500915,5078057
43590,크로바하이텍,KOSDAQ,중견기업부,1290,5,0.39,1290,1315,1275,183843,239376550,46124779470,35755643
114120,크루셜텍,KOSDAQ,관리종목(소속부없음),10850,0,0,0,0,0,0,0,24913021350,2296131
110790,크리스에프앤씨,KOSDAQ,우량기업부,20100,-200,-0.99,20350,20500,20000,9473,191579500,2.35481E+11,11715480
900250,크리스탈신소재,KOSDAQ,외국기업(소속부없음),876,-34,-3.74,907,958,873,3354356,3011109339,84000550164,95891039
83790,크리스탈지노믹스,KOSDAQ,기술성장기업부,3490,-35,-0.99,3530,3560,3470,110704,390607015,2.4167E+11,69246486
45520,크린앤사이언스,KOSDAQ,우량기업부,7190,20,0.28,7200,7290,7160,3820,27481450,46735000000,6500000
36170,클라우드에어,KOSDAQ,중견기업부,961,6,0.63,955,966,949,51190,49080519,58972366586,61365626
214150,클래시스,KOSDAQ,우량기업부,16700,250,1.52,16600,16850,16300,269581,4475714350,1.08177E+12,64776702
352770,클리노믹스,KOSDAQ,기술성장기업부,8020,-210,-2.55,8240,8460,7990,746494,6106800410,1.09234E+11,13620141
237880,클리오,KOSDAQ,투자주의환기종목(소속부없음),13000,-300,-2.26,13400,13400,13000,43341,569556300,2.34928E+11,18071353
139670,키네마스터,KOSDAQ,중견기업부,9970,0,0,10150,10250,9700,98378,982050280,1.35057E+11,13546307
20120,키다리스튜디오,KOSPI,,6880,100,1.47,6810,7120,6810,333809,2327263850,2.51813E+11,36600741
413600,키움제6호스팩,KOSDAQ,SPAC(소속부없음),2050,0,0,2050,2055,2050,1328,2724345,7031500000,3430000
433530,키움제7호스팩,KOSDAQ,SPAC(소속부없음),1985,-15,-0.75,2010,2010,1980,14131,28134755,8148425000,4105000
39490,키움증권,KOSPI,,86400,4600,5.62,81600,86500,81500,65659,5565038400,2.26537E+12,26219513
54780,키이스트,KOSDAQ,중견기업부,6020,10,0.17,6020,6090,5990,28467,172077570,1.17678E+11,19547793
336040,타스컴,KONEX,일반기업부,17000,0,0,17500,17500,17000,398,6786600,69209941000,4071173
219130,타이거일렉,KOSDAQ,중견기업부,20600,800,4.04,19750,21450,19600,132155,2612179650,1.30074E+11,6314290
318660,타임기술,KONEX,일반기업부,1800,0,0,0,0,0,0,0,3873781800,2152101
434190,탈로스,KONEX,일반기업부,15150,-150,-0.98,16800,16800,14350,138,2007050,44590692000,2943280
360070,탑머티리얼,KOSDAQ,벤처기업부,42300,-650,-1.51,42800,43750,41900,274512,11742442050,3.37738E+11,7984343
180060,탑선,KONEX,일반기업부,10050,250,2.55,10000,10100,10000,44,440900,92878743300,9241666
65130,탑엔지니어링,KOSDAQ,우량기업부,5150,10,0.19,5140,5200,5130,5617,28995920,82277723550,15976257
134580,탑코미디어,KOSDAQ,중견기업부,4415,-115,-2.54,4565,4580,4310,35533,159958550,57896477775,13113585
14580,태경비케이,KOSPI,,6120,290,4.97,5850,6230,5800,1392522,8467154920,1.68809E+11,27583100
15890,태경산업,KOSPI,,6770,20,0.3,6750,6840,6700,67299,456670210,1.97879E+11,29228750
6890,태경케미컬,KOSPI,,11350,650,6.07,10850,11550,10700,541719,6111619050,1.3166E+11,11600000
23160,태광,KOSDAQ,우량기업부,17250,-150,-0.86,17450,17650,17200,92071,1595718200,4.57125E+11,26500000
3240,태광산업,KOSPI,,729000,-3000,-0.41,732000,734000,728000,290,211652000,8.11669E+11,1113400
11280,태림포장,KOSPI,,2745,25,0.92,2745,2780,2710,98073,268664065,1.94362E+11,70805940
323280,태성,KOSDAQ,벤처기업부,1725,80,4.86,1625,1820,1610,3825046,6613643835,41645346750,24142230
53620,태양,KOSDAQ,우량기업부,8070,-70,-0.86,8130,8130,8070,3011,24370110,69402000000,8600000
4100,태양금속,KOSPI,,1205,5,0.42,1200,1220,1190,71473,86027265,44223500000,36700000
4105,태양금속우,KOSPI,,2560,-75,-2.85,2670,2670,2560,1325,3442840,8448000000,3300000
116100,태양기계,KONEX,일반기업부,1050,0,0,0,0,0,0,0,6551985300,6239986
9410,태영건설,KOSPI,,4380,0,0,4390,4475,4365,137601,606421905,1.70378E+11,38899098
9415,태영건설우,KOSPI,,6960,70,1.02,7090,7150,6920,1185,8389220,9062908320,1302142
44490,태웅,KOSDAQ,중견기업부,10250,150,1.49,10150,10400,10100,22347,230307750,2.05076E+11,20007381
124560,태웅로직스,KOSDAQ,우량기업부,5950,90,1.54,5900,6110,5870,471310,2827616210,2.28579E+11,38416584
1420,태원물산,KOSPI,,4250,55,1.31,4195,4300,4195,746,3149735,32300000000,7600000
7980,태평양물산,KOSPI,,1260,10,0.8,1250,1265,1245,168944,212254665,60668479620,48149587
191420,테고사이언스,KOSDAQ,벤처기업부,16900,-50,-0.29,16950,17100,16800,1434,24225100,1.37039E+11,8108834
73640,테라사이언스,KOSDAQ,중견기업부,1630,60,3.82,1570,1660,1560,249534,405236605,1.34032E+11,82227973
66700,테라젠이텍스,KOSDAQ,우량기업부,4000,50,1.27,3955,4020,3935,38517,153620900,1.29898E+11,32474435
95610,테스,KOSDAQ,우량기업부,17300,-200,-1.14,17500,17650,17200,64345,1120750650,3.4199E+11,19768226
55490,테이팩스,KOSPI,,60700,400,0.66,60400,61600,60200,17251,1050952100,2.86361E+11,4717650
308700,테크엔,KONEX,일반기업부,630,51,8.81,630,630,630,1,630,2520000000,4000000
89030,테크윙,KOSDAQ,우량기업부,6280,-60,-0.95,6390,6440,6270,243459,1545993360,2.34581E+11,37353645
258050,테크트랜스,KONEX,일반기업부,1200,0,0,1200,1200,1200,1,1200,11664109200,9720091
54450,텔레칩스,KOSDAQ,벤처기업부,13200,50,0.38,13300,13400,13100,54343,719486200,1.82898E+11,13855911
91440,텔레필드,KOSDAQ,벤처기업부,2480,-20,-0.8,2575,2595,2425,217038,543692150,24734604880,9973631
78000,텔코웨어,KOSPI,,8520,0,0,8470,8540,8450,2415,20496580,82667055120,9702706
200230,텔콘RF제약,KOSDAQ,중견기업부,1085,5,0.46,1095,1100,1080,82511,90000200,1.17836E+11,108604300
214420,토니모리,KOSPI,,3535,-65,-1.81,3670,3670,3535,52819,188747745,85033714465,24054799
393210,토마토시스템,KONEX,일반기업부,13500,0,0,13500,13500,13500,2,27000,52755124500,3907787
215480,토박스코리아,KOSDAQ,중견기업부,5060,10,0.2,5080,5190,5050,28423,145202680,48651682420,9614957
51360,토비스,KOSDAQ,우량기업부,8840,-150,-1.67,8990,9010,8840,49798,443762900,1.45127E+11,16417058
45340,토탈소프트,KOSDAQ,벤처기업부,4780,5,0.1,4770,4850,4745,23229,111781570,40907431200,8558040
108230,톱텍,KOSDAQ,중견기업부,6930,10,0.14,6980,7080,6870,117671,818255850,2.63501E+11,38023245
79970,투비소프트,KOSDAQ,투자주의환기종목(소속부없음),1050,0,0,1045,1160,1035,694353,744178970,48469380750,46161315
199800,툴젠,KOSDAQ,기술성장기업부,57500,-300,-0.52,58300,58300,57400,2957,170566000,4.51515E+11,7852427
105550,트루윈,KOSDAQ,중견기업부,2380,0,0,2400,2400,2375,44802,106683485,1.05511E+11,44332472
290090,트윔,KOSDAQ,벤처기업부,13850,-50,-0.36,13900,14100,13800,6565,91421300,1.019E+11,7357424
26150,특수건설,KOSDAQ,중견기업부,8840,-200,-2.21,9050,9100,8830,115229,1032468510,1.5511E+11,17546331
322180,티라유텍,KOSDAQ,벤처기업부,6990,-50,-0.71,7230,7230,6740,55947,384760940,38383837500,5491250
117730,티로보틱스,KOSDAQ,벤처기업부,6180,-150,-2.37,6360,6390,6180,94008,590079580,87944471460,14230497
33830,티비씨,KOSDAQ,중견기업부,1050,10,0.96,1045,1065,1045,232549,244625835,1.05E+11,100000000
57680,티사이언티픽,KOSDAQ,중견기업부,2930,-35,-1.18,2965,3020,2905,144757,428206850,1.62464E+11,55448455
64760,티씨케이,KOSDAQ,우량기업부,101800,0,0,102900,102900,100700,9801,995316400,1.18852E+12,11675000
246710,티앤알바이오팹,KOSDAQ,기술성장기업부,12900,-250,-1.9,13300,13300,12900,19655,256757000,2.68268E+11,20795964
340570,티앤엘,KOSDAQ,중견기업부,35650,-400,-1.11,36400,36400,35600,23196,830778300,2.89763E+11,8128000
43220,티에스넥스젠,KOSDAQ,중견기업부,976,14,1.46,971,981,966,186567,182052718,1.03074E+11,105609041
277880,티에스아이,KOSDAQ,기술성장기업부,9160,10,0.11,9150,9270,9100,60955,560118860,1.70773E+11,18643352
131290,티에스이,KOSDAQ,우량기업부,39900,350,0.88,40450,40900,39750,77175,3110792050,4.41351E+11,11061429
19180,티에이치엔,KOSPI,,3620,-35,-0.96,3670,3695,3615,253760,929029575,65160000000,18000000
356860,티엘비,KOSDAQ,중견기업부,42400,0,0,42400,42700,41800,20704,874589150,2.08452E+11,4916315
62860,티엘아이,KOSDAQ,벤처기업부,5550,10,0.18,5580,5600,5540,1434,7972520,54793596000,9872720
413300,티엘엔지니어링,KONEX,일반기업부,4890,0,0,4890,4890,4800,12,58020,5868000000,1200000
363280,티와이홀딩스,KOSPI,,11200,550,5.16,10850,11450,10750,259008,2867717800,5.70408E+11,50929268
36328K,티와이홀딩스우,KOSPI,,11400,200,1.79,11300,11650,11200,6609,75871050,14310853200,1255338
321550,티움바이오,KOSDAQ,기술성장기업부,11150,-300,-2.62,11450,11500,11150,42601,481634200,2.67427E+11,23984526
91810,티웨이항공,KOSPI,,1690,40,2.42,1670,1725,1660,513532,871918005,2.70958E+11,160330279
4870,티웨이홀딩스,KOSPI,,501,2,0.4,499,508,495,297928,149449090,54845555667,109472167
104480,티케이케미칼,KOSDAQ,우량기업부,3170,-30,-0.94,3210,3225,3170,199016,635748010,2.88139E+11,90895434
81150,티플랙스,KOSDAQ,우량기업부,4360,10,0.23,4360,4415,4340,391575,1715498460,1.0581E+11,24268402
130740,티피씨글로벌,KOSDAQ,중견기업부,3020,10,0.33,3010,3030,2985,62699,188905710,34055570580,11276679
217880,틸론,KONEX,일반기업부,10150,0,0,10400,10400,10150,578,5922900,54440996750,5363645
84730,팅크웨어,KOSDAQ,우량기업부,14500,50,0.35,14450,14650,14350,14468,209750600,1.51172E+11,10425682
46210,파나진,KOSDAQ,벤처기업부,4015,85,2.16,3950,4085,3930,148880,600911135,1.29029E+11,32136660
58530,파나케이아,KOSDAQ,관리종목(소속부없음),1620,0,0,0,0,0,0,0,29287053360,18078428
34230,파라다이스,KOSDAQ,중견기업부,14950,-200,-1.32,15150,15300,14900,316291,4794974500,1.35959E+12,90942672
33540,파라텍,KOSDAQ,중견기업부,1000,-20,-1.96,1030,1030,994,460148,462910044,73175379000,73175379
43200,파루,KOSDAQ,벤처기업부,889,0,0,889,893,887,31391,27925577,37164036035,41804315
214450,파마리서치,KOSDAQ,우량기업부,63300,-600,-0.94,64000,64300,63100,17687,1124703800,6.40085E+11,10111930
217950,파마리서치바이오,KONEX,일반기업부,28000,0,0,28950,29950,28000,12,345700,1.13383E+11,4049391
208340,파멥신,KOSDAQ,기술성장기업부,3515,-20,-0.57,3550,3640,3490,174712,621430005,90260932790,25678786
5690,파미셀,KOSPI,,10650,0,0,10750,10800,10550,145678,1550635000,6.39181E+11,60016964
177830,파버나인,KOSDAQ,벤처기업부,3810,-25,-0.65,3860,3860,3800,15831,60521020,54440148930,14288753
37070,파세코,KOSDAQ,우량기업부,13300,0,0,13250,13650,13150,53117,712449250,2.66E+11,20000000
150900,파수,KOSDAQ,벤처기업부,9680,-50,-0.51,9730,9850,9680,6957,67693040,1.12626E+11,11634922
37030,파워넷,KOSDAQ,벤처기업부,3215,-35,-1.08,3260,3285,3215,77517,251568785,56785104680,17662552
47310,파워로직스,KOSDAQ,우량기업부,5570,10,0.18,5610,5630,5550,75299,420940590,1.91725E+11,34420982
266870,파워풀엑스,KONEX,일반기업부,1430,-5,-0.35,1235,1430,1220,12488,15247620,9164412400,6408680
368770,파이버프로,KOSDAQ,벤처기업부,2460,20,0.82,2460,2575,2425,270446,677947060,80821393500,32854225
170790,파이오링크,KOSDAQ,벤처기업부,11150,200,1.83,11000,11200,10950,10809,119442400,76448079500,6856330
49120,파인디앤씨,KOSDAQ,중견기업부,1950,0,0,1955,1965,1930,6032,11774200,58737301350,30121693
38950,파인디지털,KOSDAQ,벤처기업부,4745,20,0.42,4760,4800,4725,3677,17494790,48450079925,10210765
441270,파인엠텍,KOSDAQ,중견기업부,6950,-50,-0.71,7040,7080,6900,137529,960773070,2.25801E+11,32489383
106240,파인테크닉스,KOSDAQ,우량기업부,2375,15,0.64,2365,2430,2350,232149,553520015,37817260375,15923057
131760,파인텍,KOSDAQ,중견기업부,1105,20,1.84,1100,1180,1095,687555,783443480,47147006270,42666974
65690,파커스,KOSDAQ,중견기업부,2330,10,0.43,2320,2350,2320,11250,26327200,32734941230,14049331
140860,파크시스템스,KOSDAQ,우량기업부,108100,-2300,-2.08,111500,111500,107800,51599,5661637300,7.50891E+11,6946259
91700,파트론,KOSDAQ,우량기업부,8820,30,0.34,8850,8950,8760,424138,3756554720,5.19659E+11,58918214
202960,판도라티비,KONEX,일반기업부,1240,60,5.08,1270,1300,1190,7046,8580955,14775321680,11915582
32800,판타지오,KOSDAQ,중견기업부,515,4,0.78,511,520,511,175893,90626988,49463777550,96046170
